Apellido,Total
CASANOVA,14749
NICOLAS,14717
BELMONTE,14634
PINO,14597
MIRALLES,14586
RECIO,14551
LAGO,14529
BARBA,14515
VENTURA,14423
SALA,14407
COBOS,14373
HERRANZ,14317
ARRANZ,14274
MUÑIZ,14248
MADRID,14159
ANGULO,14131
CABEZAS,14106
COLL,14019
CUADRADO,14016
BARREIRO,13975
VELEZ,13914
VAQUERO,13853
CERVERA,13834
OCHOA,13740
DA SILVA,13738
OCAÑA,13701
NAVARRETE,13697
BECERRA,13676
ALFARO,13660
PERALTA,13654
GRANADOS,13637
PUENTE,13609
BELLO,13577
ALCANTARA,13455
VERGARA,13442
TAPIA,13432
GAMEZ,13384
CASTELLANOS,13369
WANG,13366
PUJOL,13252
CORRALES,13184
MEJIAS,13168
LIN,13167
LATORRE,13154
ESTRADA,13125
LOSADA,13105
VALLS,13098
EGEA,13032
GODOY,13017
FALCON,12955
ROVIRA,12947
DUARTE,12909
BARRAGAN,12887
CAMPO,12884
SASTRE,12856
SEGOVIA,12838
HUERTAS,12793
FAJARDO,12782
RUANO,12765
CEBRIAN,12754
CEREZO,12751
CATALAN,12744
VALENZUELA,12741
FRAILE,12719
BORREGO,12661
PAVON,12661
CARVAJAL,12598
BARBERO,12567
TORO,12566
MORCILLO,12547
ARJONA,12536
GUIJARRO,12489
DEL VALLE,12480
ARIZA,12457
AZNAR,12408
MORILLO,12344
ROSALES,12333
PEINADO,12308
FERREIRO,12294
ROMERA,12254
CANOVAS,12232
ALCAIDE,12146
MELERO,12143
SOLE,12131
PORTILLO,12130
GALVAN,12080
GORDILLO,12060
VALDES,12042
DAVILA,12040
AGUDO,12034
JORGE,12018
LLAMAS,11987
LOBATO,11984
SAINZ,11973
FIGUEROA,11965
TIRADO,11937
ESPEJO,11924
TEJERO,11903
DUQUE,11891
REAL,11871
AMAYA,11851
ZAMBRANO,11800
ROYO,11727
DORADO,11707
CRIADO,11705
BARRIO,11672
GONZALO,11660
GRANDE,11658
CHAMORRO,11657
FRIAS,11576
SOLANO,11551
MOYANO,11529
FREIRE,11497
PIZARRO,11484
ROSADO,11455
DE MIGUEL,11442
MOSQUERA,11425
ZHANG,11400
OLMEDO,11393
AHMED,11341
CALLEJA,11316
AVILES,11272
ALCAZAR,11238
PLA,11215
HUERTA,11200
PANIAGUA,11190
ALCALA,11166
TENA,11141
FERRERO,11133
SAENZ,11119
DEL POZO,11097
ALCALDE,11077
SALGUERO,11068
GARZON,10999
NOGUERA,10992
SALCEDO,10954
ARAUJO,10922
PAEZ,10904
BRITO,10887
ALVARADO,10881
LLORENS,10868
REBOLLO,10849
PAZOS,10840
CHAVES,10820
SERNA,10805
HERAS,10790
VIVES,10780
PIÑERO,10773
LAFUENTE,10771
PENA,10755
BORJA,10737
ANDRADE,10697
ARCE,10683
BONET,10675
OSORIO,10644
DOS SANTOS,10636
POVEDA,10607
HERVAS,10599
BARTOLOME,10591
ABELLAN,10574
MATEU,10564
OLMO,10560
BARRANCO,10537
QUIROS,10534
VALLES,10444
VALIENTE,10443
HARO,10441
CABEZA,10426
BORRAS,10343
GINER,10309
GARCES,10296
LAGUNA,10294
OROZCO,10287
MELLADO,10285
LLOPIS,10272
MIRA,10270
PALOMINO,10269
SOUTO,10259
AFONSO,10228
MOLERO,10195
BILBAO,10189
YAÑEZ,10171
BARCELO,10156
CARREÑO,10144
CASTAÑEDA,10138
PALOMARES,10104
FUERTES,10094
DEL CASTILLO,10093
OSUNA,10078
VASQUEZ,10030
MAESTRE,9999
CALLE,9973
DEL PINO,9964
CHAVEZ,9934
CEBALLOS,9919
VILCHEZ,9918
MONTESINOS,9914
CASTELLO,9899
SAN JOSE,9895
RIBAS,9878
LEIVA,9872
ZAFRA,9743
OLMOS,9742
BELLIDO,9720
URBANO,9714
PRATS,9701
BUSTAMANTE,9686
BAEZA,9656
FELIPE,9639
PUERTAS,9634
PAREJA,9622
VIZCAINO,9599
MINGUEZ,9591
MURCIA,9584
JAEN,9570
LI,9570
ACEVEDO,9558
PERALES,9547
GASCON,9516
CARRERAS,9485
TEJADA,9477
ZARAGOZA,9439
LUENGO,9407
SEBASTIAN,9401
PERIS,9385
MONTORO,9364
CAMPILLO,9358
GAGO,9333
ARCOS,9308
ENRIQUEZ,9302
ALEGRE,9300
DE CASTRO,9284
VALERA,9268
BAÑOS,9224
CAÑAS,9210
MONGE,9175
LEDESMA,9169
MEJIA,9148
CASAL,9136
FUSTER,9120
DE LEON,9094
YE,9092
SOBRINO,9039
VILAR,9038
BUSTOS,9021
BAEZ,9004
SARMIENTO,9004
NADAL,8989
TEJEDOR,8957
SANJUAN,8953
CAZORLA,8945
TELLO,8925
XU,8924
SEOANE,8912
SANDOVAL,8876
SALMERON,8873
JEREZ,8873
ORELLANA,8838
ROCHA,8816
CONESA,8808
PALLARES,8780
ARMAS,8773
FERRE,8751
JARA,8740
MONTIEL,8707
VERDU,8683
ZABALA,8677
BAREA,8676
MAYA,8669
ARTEAGA,8628
MARI,8597
LOBO,8594
MOREIRA,8594
BATISTA,8584
VEIGA,8582
FERRANDO,8578
RIPOLL,8572
BARRERO,8566
JORDAN,8554
MORO,8551
PATIÑO,8549
LIU,8541
DEL CAMPO,8540
CLIMENT,8538
BEJARANO,8531
TORTOSA,8529
MAYOR,8523
PRADOS,8507
MORON,8491
CATALA,8490
PADRON,8483
SAN MARTIN,8473
TAMAYO,8453
PRADA,8452
AYUSO,8428
